,yyyymm,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,d/p,d/y,e/p,d/e,ret (S&P 500 annualized log return including dividends)
68,193208,1.187807545,0.0014,0.0491,0.0822,0.0321,-0.015061698,0.000116667,-0.007352941,0.0003,0.0436,0.040019306,-2.626761365,-2.308009615,-2.867908437,0.241147073,0.394164
69,193209,1.214365567,0.0003,0.047,0.0761,0.0319,0.000705886,2.50E-05,-0.007407407,0.0057,0.0301,0.043298566,-2.634119048,-2.671767696,-2.865920662,0.231801614,-0.034118
70,193210,1.403877221,0.0001,0.0464,0.0787,0.0322,-0.002872091,8.33E-06,-0.007462687,-0.0017,0.0074,0.035644758,-2.532034403,-2.681246802,-2.753688012,0.221653608,-0.143263
71,193211,1.542147294,0.0001,0.0463,0.0824,0.0322,-0.003320544,8.33E-06,-0.007518797,0.0032,0.0073,0.023316603,-2.520589202,-2.581303627,-2.731139138,0.210549936,-0.058702
72,193212,1.442084301,0.0004,0.0459,0.0842,0.0315,-0.005030024,3.33E-05,-0.007575758,0.0131,0.0139,0.010223099,-2.623218266,-2.57261223,-2.821669204,0.198450939,0.053749
73,193301,1.426929392,0.0007,0.0444,0.0801,0.0308,-0.006488836,5.83E-05,-0.015267176,0.0148,0.0547,0.005916609,-2.640499291,-2.633268601,-2.822820848,0.182321557,0.012575
74,193302,1.690990465,0.0001,0.0448,0.0837,0.0325,-0.00581559,8.33E-06,-0.015503876,-0.0258,-0.0523,0.015666928,-2.44677378,-2.650651662,-2.612900651,0.166126871,-0.186035
75,193303,1.476534296,0.0134,0.0468,0.0891,0.0321,-0.02188186,0.001116667,-0.007874016,0.0097,0.0047,0.037454111,-2.490048049,-2.45703028,-2.639912396,0.149864347,0.032581
76,193304,1.119015048,0.0045,0.0478,0.0912,0.0325,-0.006367667,0.000375,0,-0.0032,-0.0095,0.029151226,-2.85263143,-2.500410836,-2.986162823,0.133531393,0.412291
77,193305,0.928384973,0.0029,0.0463,0.0774,0.0308,-0.003000487,0.000241667,0,0.0303,0.0588,0.011963833,-3.010361584,-2.86310273,-3.127486941,0.117125357,0.170167
78,193306,0.833503159,0.0007,0.0446,0.0707,0.0306,0.000762236,5.83E-05,0.007936508,0.005,0.019,0.019819362,-3.144702384,-3.020943693,-3.24534591,0.100643526,0.133994
79,193307,0.901178804,0.0019,0.0436,0.0662,0.0309,0.002714895,0.000158333,0.031496063,-0.0017,0.0161,0.032868097,-3.063290425,-3.155397673,-3.147373542,0.084083117,-0.085471
80,193308,0.798750122,0.0001,0.043,0.0677,0.0308,0.002147849,8.33E-06,0.007633588,0.0044,0.0093,0.011878964,-3.182572591,-3.074101341,-3.250013872,0.067441281,0.119807
81,193309,0.867996604,0.0004,0.0436,0.0727,0.0308,-0.000457296,3.33E-05,0,0.0023,-0.0014,0.014249909,-3.072896794,-3.193501661,-3.123611887,0.050715093,-0.121112
82,193310,0.927858439,0.0009,0.0434,0.0749,0.0315,0.003463942,7.50E-05,0,-0.0091,0.004,0.02767577,-2.991277923,-3.08394663,-3.025179475,0.033901552,-0.091588
83,193311,0.833503159,0.0022,0.0454,0.0798,0.0327,0.005924461,0.000183333,0,-0.0149,-0.0248,0.009581576,-3.100193509,-3.002451224,-3.117191085,0.016997576,0.10207
