caldt,vwretd
1965/03/18,-0.002316
1965/03/19,0.000274
1965/03/22,-0.000136
1965/03/23,0.000927
1965/03/24,0.001852
1965/03/25,-0.002863
1965/03/26,-0.007227
1965/03/29,-0.002076
1965/03/30,0.002091
1965/03/31,-0.000288
1965/04/01,0.001913
1965/04/02,0.002499
1965/04/05,0.000101
1965/04/06,-0.000297
1965/04/07,0.000649
1965/04/08,0.005556
1965/04/09,0.006078
1965/04/12,0.004775
1965/04/13,0.001465
1965/04/14,0.002191
1965/04/15,-0.001012
1965/04/19,0.004030
1965/04/20,-0.000512
1965/04/21,-0.002124
1965/04/22,0.005286
1965/04/23,0.001282
1965/04/26,0.000337
1965/04/27,0.001685
1965/04/28,-0.000218
1965/04/29,-0.000702
1965/04/30,0.002087
1965/05/03,0.001475
1965/05/04,0.003669
1965/05/05,0.003121
1965/05/06,0.002607
1965/05/07,-0.000726
1965/05/10,-0.001125
1965/05/11,-0.000888
1965/05/12,0.004326
1965/05/13,0.003620
1965/05/14,-0.002007
1965/05/17,-0.006194
1965/05/18,-0.000536
1965/05/19,0.002634
1965/05/20,-0.005479
1965/05/21,-0.004829
1965/05/24,-0.007470
1965/05/25,0.006054
1965/05/26,-0.002493
1965/05/27,-0.005234
1965/05/28,0.006471
1965/06/01,-0.007661
1965/06/02,-0.007007
1965/06/03,-0.002197
1965/06/04,0.002542
1965/06/07,-0.002511
1965/06/08,-0.010886
1965/06/09,-0.010423
1965/06/10,-0.003345
1965/06/11,0.004559
1965/06/14,-0.013057
1965/06/15,0.005972
1965/06/16,0.008666
1965/06/17,0.006352
1965/06/18,-0.004608
1965/06/21,-0.003307
1965/06/22,0.002089
1965/06/23,-0.006301
1965/06/24,-0.013039
1965/06/25,-0.006060
1965/06/28,-0.017622
1965/06/29,0.009484
1965/06/30,0.021287
1965/07/01,0.004360
1965/07/02,0.007972
1965/07/06,-0.002012
1965/07/07,-0.003650
1965/07/08,0.008681
1965/07/09,0.003744
1965/07/12,-0.000121
1965/07/13,-0.001092
1965/07/14,0.003303
1965/07/15,-0.001637
1965/07/16,-0.000488
1965/07/19,-0.000729
1965/07/20,-0.012580
1965/07/21,-0.005702
1965/07/22,-0.002499
1965/07/23,0.002650
1965/07/26,-0.000210
1965/07/27,-0.001921
1965/07/28,0.002224
1965/07/29,0.007707
1965/07/30,0.006652
1965/08/02,0.002153
1965/08/03,0.001385
1965/08/04,0.004133
1965/08/05,0.000115
1965/08/06,0.003271
1965/08/09,-0.001884
1965/08/10,0.000287
1965/08/11,0.003372
1965/08/12,0.003094
1965/08/13,0.004741
1965/08/16,0.001323
1965/08/17,0.002239
1965/08/18,-0.000196
1965/08/19,-0.002215
1965/08/20,-0.001106
1965/08/23,-0.001402
1965/08/24,0.001676
1965/08/25,0.001329
1965/08/26,0.004190
1965/08/27,0.001385
1965/08/30,0.000087
1965/08/31,-0.000666
1965/09/01,0.000396
1965/09/02,0.005508
1965/09/03,0.005018
1965/09/07,0.003532
1965/09/08,0.003529
1965/09/09,0.002810
1965/09/10,0.002708
1965/09/13,0.002834
1965/09/14,-0.003882
1965/09/15,0.005297
1965/09/16,0.005517
1965/09/17,0.000255
1965/09/20,0.000472
1965/09/21,-0.002925
1965/09/22,0.004803
1965/09/23,-0.003905
1965/09/24,0.002025
1965/09/27,0.006629
1965/09/28,-0.002447
1965/09/29,-0.004493
1965/09/30,-0.000703
1965/10/01,-0.000699
1965/10/04,0.002052
1965/10/05,0.006095
1965/10/06,-0.000865
1965/10/07,-0.000493
1965/10/08,0.004222
1965/10/11,0.005945
1965/10/12,-0.000356
1965/10/13,-0.000094
1965/10/14,-0.001726
1965/10/15,0.002238
1965/10/18,0.003166
1965/10/19,0.001390
1965/10/20,0.000027
1965/10/21,0.001729
1965/10/22,0.000094
1965/10/25,-0.003258
1965/10/26,0.005831
1965/10/27,0.003856
1965/10/28,-0.003142
1965/10/29,0.002479
1965/11/01,-0.001086
1965/11/03,0.001038
1965/11/04,0.001939
1965/11/05,0.000811
1965/11/08,-0.003418
1965/11/09,-0.002720
1965/11/10,-0.000898
1965/11/11,0.002913
1965/11/12,0.004798
1965/11/15,0.000967
1965/11/16,-0.001866
1965/11/17,0.002504
1965/11/18,-0.004094
1965/11/19,0.000164
1965/11/22,-0.006146
1965/11/23,0.001653
1965/11/24,0.001755
1965/11/26,0.002135
1965/11/29,-0.002419
1965/11/30,-0.001822
1965/12/01,-0.001064
1965/12/02,-0.003222
1965/12/03,0.000761
1965/12/06,-0.007389
1965/12/07,0.009380
1965/12/08,-0.001363
1965/12/09,0.003131
1965/12/10,0.002879
1965/12/13,0.000429
1965/12/14,0.000561
1965/12/15,0.001482
1965/12/16,0.001224
1965/12/17,0.000032
1965/12/20,-0.004952
1965/12/21,0.004088
1965/12/22,0.003087
1965/12/23,-0.001536
1965/12/27,-0.006975
1965/12/28,0.000178
1965/12/29,0.002920
1965/12/30,0.004178
1965/12/31,0.002550
1966/01/03,-0.002884
1966/01/04,0.001070
1966/01/05,0.006625
1966/01/06,0.002185
1966/01/07,0.000938
1966/01/10,0.001896
1966/01/11,0.000719
1966/01/12,-0.002223
1966/01/13,0.001854
1966/01/14,0.001570
1966/01/17,0.003124
1966/01/18,0.001810
1966/01/19,-0.002792
1966/01/20,-0.003406
1966/01/21,0.001001
1966/01/24,0.002517
1966/01/25,0.001888
1966/01/26,-0.001690
1966/01/27,-0.000225
1966/01/28,-0.003751
1966/01/31,-0.004497
1966/02/01,-0.007042
1966/02/02,0.004278
1966/02/03,0.001741
1966/02/04,0.006700
1966/02/07,0.003861
1966/02/08,-0.000196
1966/02/09,0.005420
1966/02/10,-0.002301
1966/02/11,-0.000114
1966/02/14,-0.001295
1966/02/15,-0.004523
1966/02/16,0.000111
1966/02/17,-0.005383
1966/02/18,-0.002731
1966/02/21,-0.005669
1966/02/23,-0.004120
1966/02/24,-0.005344
1966/02/25,0.002895
1966/02/28,0.000993
1966/03/01,-0.012624
1966/03/02,-0.009933
1966/03/03,0.003649
1966/03/04,-0.002568
1966/03/07,-0.013199
1966/03/08,0.001722
1966/03/09,0.009009
1966/03/10,0.000029
1966/03/11,-0.001016
1966/03/14,-0.011241
1966/03/15,-0.005675
1966/03/16,0.006168
1966/03/17,0.003352
1966/03/18,0.004136
1966/03/21,0.007773
1966/03/22,0.002913
1966/03/23,-0.003656
1966/03/24,0.001778
1966/03/25,0.003073
1966/03/28,0.001081
1966/03/29,-0.003878
1966/03/30,-0.009067
1966/03/31,0.005377
1966/04/01,0.008030
1966/04/04,0.009168
1966/04/05,0.006122
1966/04/06,0.002597
1966/04/07,0.002228
1966/04/11,0.000585
1966/04/12,-0.003541
1966/04/13,0.000891
1966/04/14,0.003906
1966/04/15,0.001080
1966/04/18,-0.004388
1966/04/19,0.000005
1966/04/20,0.005689
1966/04/21,0.003857
1966/04/22,-0.001689
1966/04/25,-0.001839
1966/04/26,-0.000943
1966/04/27,-0.002294
1966/04/28,-0.006750
1966/04/29,-0.000762
1966/05/02,-0.001571
1966/05/03,-0.010764
1966/05/04,-0.005026
1966/05/05,-0.016222
1966/05/06,-0.001056
1966/05/09,-0.015905
1966/05/10,0.009123
1966/05/11,0.001842
1966/05/12,-0.011734
1966/05/13,-0.008697
1966/05/16,-0.013509
1966/05/17,-0.007635
1966/05/18,0.018082
1966/05/19,-0.001335
1966/05/20,0.004921
1966/05/23,0.008927
1966/05/24,0.007000
1966/05/25,0.003586
1966/05/26,0.000973
1966/05/27,0.003185
1966/05/31,-0.013834
1966/06/01,-0.000029
1966/06/02,-0.001352
1966/06/03,0.001203
1966/06/06,-0.007440
1966/06/07,-0.006692
1966/06/08,0.001365
1966/06/09,0.006926
1966/06/10,0.011164
1966/06/13,0.004802
1966/06/14,0.003226
1966/06/15,-0.004248
1966/06/16,-0.002959
1966/06/17,0.000557
1966/06/20,-0.000349
1966/06/21,0.002824
1966/06/22,0.001692
1966/06/23,-0.004193
1966/06/24,0.000804
1966/06/27,-0.005970
1966/06/28,-0.004703
1966/06/29,-0.009568
1966/06/30,-0.001262
1966/07/01,0.010321
1966/07/05,0.002348
1966/07/06,0.014296
1966/07/07,0.003746
1966/07/08,0.001630
1966/07/11,-0.001624
1966/07/12,-0.005306
1966/07/13,-0.006399
1966/07/14,0.006178
1966/07/15,0.003078
1966/07/18,-0.000892
1966/07/19,-0.007427
1966/07/20,-0.009735
1966/07/21,0.000159
1966/07/22,-0.001199
1966/07/25,-0.018603
1966/07/26,-0.001461
