caldt,vwretd
1994/07/29,0.032714
1994/08/31,0.041341
1994/09/30,-0.023940
1994/10/31,0.022619
1994/11/30,-0.036248
1994/12/30,0.014955
1995/01/31,0.026000
1995/02/28,0.039228
1995/03/31,0.029334
1995/04/28,0.029395
1995/05/31,0.039809
1995/06/30,0.024155
1995/07/31,0.033405
1995/08/31,0.003495
1995/09/29,0.042102
1995/10/31,-0.003442
1995/11/30,0.044179
1995/12/29,0.017643
1996/01/31,0.034861
1996/02/29,0.010088
1996/03/29,0.009585
1996/04/30,0.015133
1996/05/31,0.025257
1996/06/28,0.004128
1996/07/31,-0.044441
1996/08/30,0.021928
1996/09/30,0.056035
1996/10/31,0.026798
1996/11/29,0.076455
1996/12/31,-0.019815
1997/01/31,0.062779
1997/02/28,0.007752
1997/03/31,-0.041653
1997/04/30,0.060274
1997/05/30,0.061401
1997/06/30,0.044103
1997/07/31,0.080388
1997/08/29,-0.054970
1997/09/30,0.053886
1997/10/31,-0.032605
1997/11/28,0.046321
1997/12/31,0.017147
1998/01/30,0.011994
1998/02/27,0.071956
1998/03/31,0.051336
1998/04/30,0.011275
1998/05/29,-0.017674
1998/06/30,0.040970
1998/07/31,-0.010109
1998/08/31,-0.143124
1998/09/30,0.063176
1998/10/30,0.080111
1998/11/30,0.062164
1998/12/31,0.059673
1999/01/29,0.042800
1999/02/26,-0.031935
1999/03/31,0.038979
1999/04/30,0.037559
1999/05/28,-0.023159
1999/06/30,0.054431
1999/07/30,-0.030220
1999/08/31,-0.004989
1999/09/30,-0.028079
1999/10/29,0.064238
1999/11/30,0.020822
1999/12/31,0.062579
2000/01/31,-0.049630
2000/02/29,-0.017458
2000/03/31,0.098488
2000/04/28,-0.031585
2000/05/31,-0.022304
2000/06/30,0.026219
2000/07/31,-0.012795
2000/08/31,0.062594
2000/09/29,-0.052088
2000/10/31,-0.004120
2000/11/30,-0.078268
2000/12/29,0.005720
2001/01/31,0.032375
2001/02/28,-0.090952
2001/03/30,-0.063706
2001/04/30,0.077825
2001/05/31,0.006870
2001/06/29,-0.024506
2001/07/31,-0.009317
2001/08/31,-0.063435
2001/09/28,-0.080361
2001/10/31,0.019540
2001/11/30,0.078787
2001/12/31,0.009051
2002/01/31,-0.014324
2002/02/28,-0.019481
2002/03/28,0.037572
2002/04/30,-0.061001
2002/05/31,-0.007800
2002/06/28,-0.071349
2002/07/31,-0.073987
2002/08/30,0.007061
2002/09/30,-0.108965
2002/10/31,0.088599
2002/11/29,0.059019
2002/12/31,-0.058834
2003/01/31,-0.026579
2003/02/28,-0.015246
2003/03/31,0.010308
2003/04/30,0.082774
2003/05/30,0.053251
2003/06/30,0.012816
2003/07/31,0.017932
2003/08/29,0.019597
2003/09/30,-0.010737
2003/10/31,0.055560
2003/11/28,0.009259
2003/12/31,0.051780
2004/01/30,0.019078
2004/02/27,0.014403
2004/03/31,-0.014982
2004/04/30,-0.015584
2004/05/28,0.013629
2004/06/30,0.019488
2004/07/30,-0.032954
2004/08/31,0.003807
2004/09/30,0.010817
2004/10/29,0.014973
2004/11/30,0.040559
