  PERMNO        date           amzn        vwretd        ewretd        sprtrn
   84788    20100125      -0.009223      0.003892      0.000975      0.004598
   84788    20100126      -0.006899     -0.004906     -0.006016     -0.004203
   84788    20100127       0.027369      0.004153      0.001880      0.004880
   84788    20100128       0.026721     -0.011294     -0.008876     -0.011818
   84788    20100129      -0.004919     -0.010282     -0.008187     -0.009829
   84788    20100201      -0.052149      0.015087      0.011349      0.014266
   84788    20100202      -0.006309      0.012228      0.008665      0.012973
   84788    20100203       0.008297     -0.004966     -0.003824     -0.005474
   84788    20100204      -0.026532     -0.031957     -0.028128     -0.031141
   84788    20100205       0.012506      0.002661      0.000458      0.002897
   84788    20100208      -0.004770     -0.008230     -0.005335     -0.008863
   84788    20100209       0.010271      0.013881      0.011905      0.013040
   84788    20100210      -0.005677     -0.001473      0.000019     -0.002233
   84788    20100211       0.023262      0.012092      0.012792      0.009680
   84788    20100212      -0.003581     -0.000656      0.003123     -0.002745
   84788    20100216      -0.017800      0.017966      0.014436      0.018001
   84788    20100217      -0.010380      0.004660      0.005052      0.004238
   84788    20100218       0.015218      0.006187      0.004380      0.006585
   84788    20100219      -0.004743      0.002455      0.001960      0.002187
   84788    20100222       0.004170     -0.001113      0.001982     -0.001046
   84788    20100223      -0.006525     -0.013061     -0.008435     -0.012103
   84788    20100224       0.021153      0.008520      0.005359      0.009720
   84788    20100225      -0.012696     -0.000715     -0.000977     -0.002081
   84788    20100226       0.001692      0.001851      0.001597      0.001405
   84788    20100301       0.051858      0.011972      0.012952      0.010159
   84788    20100302       0.007949      0.004406      0.007842      0.002330
   84788    20100303       0.002868      0.001601      0.002859      0.000429
   84788    20100304       0.020971      0.003093      0.004644      0.003736
   84788    20100305       0.002957      0.014478      0.015175      0.014008
   84788    20100308       0.009309      0.000735      0.003796     -0.000176
   84788    20100309      -0.009915      0.001687      0.002511      0.001713
   84788    20100310       0.013119      0.005052      0.006236      0.004525
   84788    20100311       0.023523      0.003972      0.003270      0.004042
   84788    20100312      -0.013176      0.000743      0.000601     -0.000217
   84788    20100315      -0.005234     -0.000685     -0.003177      0.000452
   84788    20100316       0.005033      0.008738      0.007168      0.007779
   84788    20100317      -0.003415      0.005597      0.004720      0.005822
   84788    20100318       0.010812     -0.002025     -0.002675     -0.000326
   84788    20100319      -0.018153     -0.006887     -0.007943     -0.005087
   84788    20100322       0.000921      0.005857      0.006290      0.005095
   84788    20100323      -0.009274      0.007664      0.008460      0.007171
   84788    20100324      -0.009438     -0.006608     -0.005124     -0.005493
   84788    20100325       0.052249     -0.002439     -0.003449     -0.001704
   84788    20100326       0.002449      0.000649      0.000860      0.000738
   84788    20100329       0.000444      0.006782      0.005706      0.005683
   84788    20100330       0.010798      0.000456      0.001620      0.000043
   84788    20100331      -0.005923     -0.002771     -0.002941     -0.003273
   84788    20100401      -0.029167      0.008643      0.006961      0.007414
   84788    20100405      -0.002428      0.009537      0.013157      0.007928
   84788    20100406       0.030953      0.002104      0.005226      0.001684
   84788    20100407      -0.005090     -0.005357     -0.000953     -0.005877
   84788    20100408       0.045155      0.002841      0.002693      0.003374
   84788    20100409      -0.006385      0.006695      0.005845      0.006684
   84788    20100412       0.008139      0.001783      0.003880      0.001767
   84788    20100413      -0.007365      0.000735      0.001568      0.000685
   84788    20100414       0.029395      0.012321      0.014968      0.011150
   84788    20100415       0.010674      0.000094      0.002761      0.000843
   84788    20100416      -0.025024     -0.016102     -0.010972     -0.016127
   84788    20100419       0.001822      0.002259     -0.002911      0.004521
   84788    20100420       0.012427      0.009800      0.011963      0.008058
   84788    20100421       0.015465     -0.000545      0.002920     -0.001019
   84788    20100422       0.024995      0.003579      0.007550      0.002264
   84788    20100423      -0.043041      0.007440      0.010052      0.007124
   84788    20100426       0.024229     -0.003209      0.002661     -0.004296
   84788    20100427      -0.034600     -0.023834     -0.018843     -0.023382
   84788    20100428      -0.018800      0.005231      0.001557      0.006463
   84788    20100429       0.017079      0.013618      0.013165      0.012943
   84788    20100430      -0.032668     -0.016824     -0.015029     -0.016648
   84788    20100503       0.002845      0.012861      0.011350      0.013121
   84788    20100504      -0.055713     -0.025346     -0.023949     -0.023838
   84788    20100505       0.008473     -0.009192     -0.013600     -0.006561
   84788    20100506      -0.016956     -0.032544     -0.033685     -0.032378
   84788    20100507      -0.028980     -0.015837     -0.016989     -0.015308
   84788    20100510       0.050488      0.044894      0.042804      0.043974
   84788    20100511      -0.006322     -0.000931      0.004202     -0.003397
   84788    20100512       0.026138      0.016244      0.019124      0.013740
   84788    20100513      -0.017928     -0.010841     -0.004875     -0.012145
   84788    20100514      -0.022340     -0.019384     -0.018568     -0.018800
   84788    20100517       0.002933     -0.000563     -0.003146      0.001109
   84788    20100518      -0.020402     -0.013634     -0.012871     -0.014196
   84788    20100519      -0.013383     -0.007144     -0.013290     -0.005130
   84788    20100520      -0.039168     -0.040348     -0.039086     -0.038976
   84788    20100521       0.025144      0.015276      0.011578      0.015024
   84788    20100524      -0.004889     -0.012030     -0.006556     -0.012908
   84788    20100525       0.022437     -0.000157     -0.006476      0.000354
   84788    20100526      -0.013215     -0.002870      0.004575     -0.005661
   84788    20100527       0.028326      0.035090      0.033655      0.032876
   84788    20100528      -0.009787     -0.011745     -0.006630     -0.012375
   84788    20100601      -0.017695     -0.018500     -0.020678     -0.017165
   84788    20100602       0.024911      0.026559      0.020297      0.025843
   84788    20100603       0.019397      0.004793      0.005511      0.004051
   84788    20100604      -0.046521     -0.035851     -0.032259     -0.034411
   84788    20100607      -0.006190     -0.014001     -0.018182     -0.013532
   84788    20100608      -0.026022      0.009216     -0.001221      0.010976
   84788    20100609      -0.007784     -0.003829     -0.000242     -0.005942
   84788    20100610       0.044949      0.029493      0.024915      0.029507
   84788    20100611      -0.001461      0.006185      0.009444      0.004380
   84788    20100614       0.006503      0.000012      0.004188     -0.001805
   84788    20100615       0.024307      0.023845      0.019397      0.023494
   84788    20100616       0.000473     -0.001212     -0.001970     -0.000556
   84788    20100617      -0.007959      0.000907     -0.000032      0.001283
   84788    20100618      -0.000477      0.001705      0.002944      0.001317
   84788    20100621      -0.026067     -0.004316     -0.006310     -0.003857
   84788    20100622      -0.001983     -0.016131     -0.013867     -0.016071
   84788    20100623      -0.007007     -0.002925     -0.001877     -0.002985
   84788    20100624      -0.025690     -0.016248     -0.012404     -0.016803
   84788    20100625       0.022564      0.006049      0.010275      0.002859
   84788    20100628      -0.026446     -0.003123     -0.004657     -0.002034
   84788    20100629      -0.078014     -0.032865     -0.031187     -0.031017
   84788    20100630       0.005985     -0.008942     -0.005541     -0.010113
   84788    20100701       0.015559     -0.003937     -0.007599     -0.003240
   84788    20100702      -0.016402     -0.004746     -0.004368     -0.004662
   84788    20100706       0.008430      0.003313     -0.006419      0.005359
   84788    20100707       0.030620      0.030874      0.021937      0.031331
   84788    20100708       0.024597      0.009559      0.010041      0.009413
   84788    20100709       0.008949      0.008900      0.011698      0.007204
   84788    20100712       0.019188     -0.001339     -0.005483      0.000733
   84788    20100713       0.034641      0.017184      0.021561      0.015379
   84788    20100714      -0.002831     -0.000637     -0.001089     -0.000155
   84788    20100715      -0.010057      0.000420     -0.003627      0.001196
   84788    20100716      -0.029248     -0.028521     -0.024131     -0.028820
   84788    20100719       0.012237      0.004999      0.003039      0.005982
   84788    20100720       0.001334      0.012630      0.011590      0.011417
   84788    20100721      -0.022231     -0.012840     -0.009837     -0.012820
   84788    20100722       0.022481      0.023555      0.023312      0.022513
   84788    20100723      -0.009994      0.009625      0.013520      0.008220
   84788    20100726      -0.003954      0.011606      0.013834      0.011200
   84788    20100727      -0.010726     -0.002525     -0.002162     -0.001049
   84788    20100728       0.000000     -0.007460     -0.007818     -0.006922
   84788    20100729      -0.002305     -0.002606      0.000460     -0.004159
   84788    20100730       0.008814      0.001520      0.003373      0.000064
   84788    20100802       0.018492      0.020543      0.013600      0.022023
   84788    20100803       0.019572     -0.005139     -0.004560     -0.004796
   84788    20100804       0.042150      0.007461      0.007322      0.006051
   84788    20100805       0.001960     -0.002492     -0.004121     -0.001269
   84788    20100806       0.003833     -0.003543     -0.002671     -0.003704
   84788    20100809       0.003974      0.005841      0.006802      0.005483
   84788    20100810       0.009082     -0.007991     -0.011580     -0.005967
   84788    20100811      -0.031615     -0.029199     -0.028496     -0.028179
   84788    20100812       0.005322     -0.004668     -0.003038     -0.005379
   84788    20100813      -0.014776     -0.003872     -0.004209     -0.004024
   84788    20100816       0.011067      0.001450      0.003630      0.000120
   84788    20100817       0.022131      0.013884      0.012332      0.012192
   84788    20100818       0.006131      0.002325      0.001914      0.001483
   84788    20100819      -0.016043     -0.016700     -0.016574     -0.016935
   84788    20100820       0.001489     -0.003310     -0.001642     -0.003663
   84788    20100823      -0.009080     -0.004849     -0.008724     -0.004040
   84788    20100824      -0.016351     -0.014430     -0.011864     -0.014512
   84788    20100825       0.018630      0.004571      0.005698      0.003289
   84788    20100826      -0.015688     -0.006640     -0.004949     -0.007685
   84788    20100827       0.014256      0.018437      0.018576      0.016587
   84788    20100830      -0.022505     -0.014210     -0.013772     -0.014719
   84788    20100831       0.008401      0.000124      0.000360      0.000391
   84788    20100901       0.061363      0.029083      0.024891      0.029505
   84788    20100902       0.020530      0.009531      0.008299      0.009081
   84788    20100903       0.026477      0.012969      0.011735      0.013219
   84788    20100907      -0.011312     -0.011856     -0.012413     -0.011471
   84788    20100908       0.013992      0.006321      0.006096      0.006439
   84788    20100909       0.008912      0.003759      0.002373      0.004832
   84788    20100910       0.014674      0.004483      0.004082      0.004863
   84788    20100913       0.018464      0.012854      0.015681      0.011131
   84788    20100914       0.004687     -0.000107     -0.000765     -0.000713
   84788    20100915      -0.002058      0.002958      0.001406      0.003541
   84788    20100916       0.018426     -0.000757     -0.002686     -0.000364
   84788    20100917       0.001316      0.001131      0.003139      0.000827
   84788    20100920       0.020090      0.015165      0.017201      0.015210
   84788    20100921      -0.003799     -0.003096     -0.002994     -0.002564
   84788    20100922       0.007298     -0.005024     -0.005267     -0.004825
   84788    20100923       0.006718     -0.008099     -0.006134     -0.008331
   84788    20100924       0.051554      0.021173      0.020093      0.021194
   84788    20100927      -0.008461     -0.004455     -0.001479     -0.005667
   84788    20100928       0.002071      0.005780      0.007405      0.004850
   84788    20100929      -0.004446     -0.001081      0.002015     -0.002588
   84788    20100930      -0.012139     -0.001993      0.001188     -0.003084
   84788    20101001      -0.021329      0.004938      0.004502      0.004416
   84788    20101004       0.010930     -0.008282     -0.009036     -0.008035
   84788    20101005       0.035266      0.020549      0.018548      0.020861
   84788    20101006      -0.034003     -0.000341     -0.000477     -0.000672
   84788    20101007       0.005599     -0.002127     -0.001648     -0.001647
   84788    20101008      -0.004607      0.007606      0.009939      0.006122
   84788    20101011      -0.016201      0.000551      0.001862      0.000146
   84788    20101012       0.022545      0.003649      0.003780      0.003819
   84788    20101013      -0.008372      0.008783      0.011164      0.007121
   84788    20101014       0.002320     -0.003668     -0.001723     -0.003641
   84788    20101015       0.058574      0.000698     -0.000574      0.002028
   84788    20101018      -0.006560      0.006289      0.005744      0.007244
   84788    20101019      -0.029897     -0.017199     -0.016739     -0.015877
   84788    20101020       0.000000      0.011258      0.010230      0.010524
   84788    20101021       0.039705      0.000277     -0.003003      0.001774
   84788    20101022       0.025217      0.002655      0.005055      0.002389
   84788    20101025      -0.000769      0.003724      0.005167      0.002147
   84788    20101026       0.005621     -0.000428      0.000521      0.000017
   84788    20101027      -0.014357     -0.003317     -0.004156     -0.002691
   84788    20101028      -0.004000      0.001143     -0.000824      0.001125
   84788    20101029      -0.009650      0.001654      0.003556     -0.000439
   84788    20101101      -0.016038      0.000144     -0.003474      0.000947
   84788    20101102       0.012486      0.009039      0.011684      0.007759
   84788    20101103       0.023449      0.003447      0.002305      0.003678
   84788    20101104       0.002730      0.019910      0.017268      0.019283
   84788    20101105       0.010892      0.004011      0.004517      0.003923
   84788    20101108       0.007144     -0.000899      0.002147     -0.002121
